model,dataset,seed,corruption,s1,s2,s3,s4,s5,mean
shape_res18,cifar10,42,glass_blur,72.98,73.24,74.94,60.97,63.57,69.14
shape_res18,cifar10,42,motion_blur,83.08,78.27,72.11,72.49,64.95,74.18
shape_res18,cifar10,42,zoom_blur,81.25,80.16,77.45,75.26,70.71,76.966
shape_res18,cifar10,42,snow,82.98,77.95,77.06,73.39,73.0,76.876
shape_res18,cifar10,42,frost,83.38,79.96,74.72,74.79,69.31,76.432
shape_res18,cifar10,42,fog,85.17,81.59,76.75,69.11,49.95,72.514
shape_res18,cifar10,42,brightness,85.99,85.4,84.44,83.48,80.47,83.956
shape_res18,cifar10,42,contrast,84.88,78.37,72.88,65.37,49.45,70.19
shape_res18,cifar10,42,elastic_transform,81.7,81.58,79.55,75.17,70.85,77.77
shape_res18,cifar10,42,pixelate,85.05,83.53,82.86,79.07,74.66,81.034
shape_res18,cifar10,42,jpeg_compression,83.82,81.97,81.47,80.51,79.52,81.458
shape_res50,cifar100,42,gaussian_noise,55.66,48.72,39.75,35.38,30.72,42.046
shape_res50,cifar100,42,shot_noise,59.23,55.47,45.86,41.8,34.24,47.32
shape_res50,cifar100,42,impulse_noise,54.67,45.97,37.24,26.13,18.86,36.574
shape_res50,cifar100,42,defocus_blur,61.48,59.53,56.42,52.72,42.73,54.576
shape_res50,cifar100,42,glass_blur,47.18,47.6,47.94,36.22,37.87,43.362
shape_res50,cifar100,42,motion_blur,57.96,53.09,48.27,47.51,42.66,49.898
shape_res50,cifar100,42,zoom_blur,56.32,55.48,53.17,50.5,47.09,52.512
shape_res50,cifar100,42,snow,58.45,53.24,51.4,46.69,43.57,50.67
shape_res50,cifar100,42,frost,57.34,52.05,46.23,45.46,40.39,48.294
shape_res50,cifar100,42,fog,60.02,53.63,45.68,36.37,19.93,43.126
shape_res50,cifar100,42,brightness,62.15,60.67,58.77,56.33,49.85,57.554
shape_res50,cifar100,42,contrast,59.2,48.5,41.7,31.81,15.17,39.276
shape_res50,cifar100,42,elastic_transform,55.75,55.93,53.14,49.03,43.99,51.568
shape_res50,cifar100,42,pixelate,60.87,59.98,59.81,57.32,54.13,58.422
shape_res50,cifar100,42,jpeg_compression,56.96,53.59,52.82,51.35,49.71,52.886
shape_res50,cifar10,42,gaussian_noise,82.37,79.22,75.28,72.33,69.54,75.748
shape_res50,cifar10,42,shot_noise,83.47,82.35,77.97,75.61,71.72,78.224
shape_res50,cifar10,42,impulse_noise,82.01,78.34,73.82,65.1,56.35,71.124
shape_res50,cifar10,42,defocus_blur,84.17,83.01,81.04,78.3,67.9,78.884
shape_res50,cifar10,42,glass_blur,73.88,73.91,73.59,63.78,63.43,69.718
shape_res50,cifar10,42,motion_blur,81.54,76.49,69.1,69.93,63.32,72.076
shape_res50,cifar10,42,zoom_blur,80.0,79.39,77.1,74.54,70.42,76.29
shape_res50,cifar10,42,snow,81.8,77.63,75.3,70.77,69.72,75.044
shape_res50,cifar10,42,frost,80.84,77.25,71.37,71.5,66.49,73.49
shape_res50,cifar10,42,fog,83.07,78.1,71.03,60.61,39.63,66.488
shape_res50,cifar10,42,brightness,84.21,83.4,81.99,80.5,76.64,81.348
shape_res50,cifar10,42,contrast,82.3,72.73,67.31,59.63,46.25,65.644
shape_res50,cifar10,42,elastic_transform,79.49,79.35,77.39,73.17,69.03,75.686
shape_res50,cifar10,42,pixelate,84.07,83.15,82.81,81.1,79.61,82.148
shape_res50,cifar10,42,jpeg_compression,83.14,81.74,80.96,80.2,79.47,81.102
